Apple Inc. Common Stock	AAPL
Atlas Technical Consultants Inc. Class A Common Stock	ATCX
Kala Pharmaceuticals Inc. Common Stock	KALA
American National Bankshares Inc. Common Stock	AMNB
SQZ Biotechnologies Company Common Stock	SQZ
Holicity Inc. Class A Common Stock	HOL
Holicity Inc. Unit	HOLUU
Target Hospitality Corp. Common Stock	TH
Teekay Corporation Common Stock	TK
FinServ Acquisition Corp. II Class A Common Stock	FSRX
FinServ Acquisition Corp. II Unit	FSRXU
Bridgetown 2 Holdings Limited Class A Ordinary Shares	BTNB
HumanCo Acquisition Corp. Class A Common Stock	HMCO
HumanCo Acquisition Corp. Unit	HMCOU
Broadstone Acquisition Corp. Class A Ordinary Shares	BSN
Preformed Line Products Company Common Stock	PLPC
Sensei Biotherapeutics Inc. Common Stock	SNSE
CHP Merger Corp. Class A Common Stock	CHPM
CHP Merger Corp. Unit	CHPMU
CHS Inc Class B Reset Rate Cumulative Redeemable Preferred Stock Series 3	CHSCM
CHS Inc Class B Cumulative Redeemable Preferred Stock Series 4	CHSCL
CHS Inc Preferred Class B Series 2 Reset Rate	CHSCN
CHS Inc. Class B Cumulative Redeemable Preferred Stock	CHSCO
CHS Inc. 8% Cumulative Redeemable Preferred Stock	CHSCP
Landec Corporation Common Stock (DE)	LNDC
Forest Road Acquisition Corp. II Class A Common Stock	FRXB
Viracta Therapeutics Inc. Common Stock	VIRX
Radiant Logistics Inc. Common Stock	RLGT
Homology Medicines Inc. Common Stock	FIXX
Emerald Holding Inc. Common Stock	EEX
CF Acquisition Corp. VI Unit	CFVIU
CF Acquisition Corp. VI Class A Common Stock	CFVI
Sustainable Opportunities Acquisition Corp. Class A Ordinary Shares	SOAC
Twelve Seas Investment Company II Unit	TWLVU
Twelve Seas Investment Company II Class A Common Stock	TWLV
ClearPoint Neuro Inc. Common Stock	CLPT
dMY Technology Group Inc. IV Class A Common Stock	DMYQ
Carter Bankshares Inc. Common Stock	CARE
Gamida Cell Ltd. Ordinary Shares	GMDA
89bio Inc. Common Stock	ETNB
DPCM Capital Inc. Class A Common Stock	XPOA
CM Life Sciences II Inc. Class A Common Stock	CMII
CM Life Sciences II Inc. Unit	CMIIU
Supernova Partners Acquisition Company II Ltd. Class A Ordinary Shares	SNII
Covenant Logistics Group Inc. Class A Common Stock	CVLG
SmartFinancial Inc. Common Stock	SMBK
Gores Holdings VIII Inc. Class A Common Stock	GIIX
Gores Holdings VIII Inc. Unit	GIIXU
Forian Inc. Common Stock	FORA
Civista Bancshares Inc. Common Stock	CIVB
Liberty All-Star Growth Fund Inc.	ASG
Vitru Limited Common Shares	VTRU
Nuveen Global High Income Fund Common Shares of Beneficial Interest	JGH
Athersys Inc. Common Stock	ATHX
Tishman Speyer Innovation Corp. II Class A common stock	TSIB
Tishman Speyer Innovation Corp. II Unit	TSIBU
Neuronetics Inc. Common Stock	STIM
Del Taco Restaurants Inc. Common Stock	TACO
Coastal Financial Corporation Common Stock	CCB
Highland Transcend Partners I Corp. Class A Ordinary Shares	HTPA
Global Partner Acquisition Corp II Class A Ordinary Share	GPAC
Global Partner Acquisition Corp II Unit	GPACU
Penn Virginia Corporation Common Stock	PVAC
Bespoke Capital Acquisition Corp. Class A Restricted Voting Shares	BSPE
Altitude Acquisition Corp. Class A Common Stock	ALTU
Altitude Acquisition Corp. Unit	ALTUU
Wells Fargo Multi-Sector Income Fund Common Stock no par value	ERC
Tailwind Two Acquisition Corp. Class A Ordinary Shares	TWNT
IG Acquisition Corp. Unit	IGACU
IG Acquisition Corp. Class A Common Stock	IGAC
Ares Dynamic Credit Allocation Fund Inc. Common Shares	ARDC
Lead Edge Growth Opportunities Ltd Class A Ordinary Shares	LEGA
Lead Edge Growth Opportunities Ltd Units	LEGAU
SilverBox Engaged Merger Corp I Class A Common Stock	SBEA
SilverBox Engaged Merger Corp I Units	SBEAU
Biodesix Inc. Common Stock	BDSX
Oramed Pharmaceuticals Inc. Common Stock	ORMP
Lifetime Brands Inc. Common Stock	LCUT
FinTech Acquisition Corp. V Class A Common Stock	FTCV
FinTech Acquisition Corp. V Unit	FTCVU
EVI Industries Inc. Common Stock	EVI
Ellomay Capital Ltd Ordinary Shares (Israel)	ELLO
GX Acquisiton Corp. Class A Common Stock	GXGX
AVROBIO Inc. Common Stock	AVRO
Jiayin Group Inc. American Depositary Shares	JFIN
Social Leverage Acquisition Corp I Class A Common Stock	SLAC
Property Solutions Acquisition Corporation II Class A Common Stock	PSAG
Property Solutions Acquisition Corporation II Units	PSAGU
Syros Pharmaceuticals Inc. Common Stock	SYRS
BlackRock Municipal Income Trust II	BLE
One Equity Partners Open Water I Corp. Class A Common Stock	OEPW
One Equity Partners Open Water I Corp. Unit	OEPWU
DHC Acquisition Corp. Unit	DHCAU
DHC Acquisition Corp. Class A ordinary share	DHCA
Portage Biotech Inc. Common Stock	PRTG
Cato Corporation (The) Class A Common Stock	CATO
First Trust MLP and Energy Income Fund Common Shares of Beneficial Interest	FEI
Kaleyra Inc. Common Stock	KLR
Alussa Energy Acquisition Corp. Class A Ordinary Shares	ALUS
DIRTT Environmental Solutions Ltd. Common Shares	DRTT
890 5th Avenue Partners Inc. Class A Common Stock	ENFA
890 5th Avenue Partners Inc. Unit	ENFAU
EMX Royalty Corporation Common Shares (Canada)	EMX
LifeMD Inc. Common Stock	LFMD
Whitestone REIT Common Shares	WSR
Surface Oncology Inc. Common Stock	SURF
BioDelivery Sciences International Inc. Common Stock	BDSI
EMCORE Corporation Common Stock	EMKR
Cytosorbents Corporation Common Stock	CTSO
Northern Dynasty Minerals Ltd. Common Stock	NAK
NL Industries Inc. Common Stock	NL
Western Asset High Yield Defined Opportunity Fund Inc. Common Stock	HYI
Full House Resorts Inc. Common Stock	FLL
PIMCO California Municipal Income Fund Common Stock	PCQ
Newpark Resources Inc. Common Stock	NR
Cohen & Steers Select Preferred and Income Fund Inc. Common Stock	PSF
Warburg Pincus Capital Corporation IA Class A Ordinary Shares	WPCA
First Bancorp Inc (ME) Common Stock	FNLC
GT Biopharma Inc. Common Stock	GTBP
Waldencast Acquisition Corp. Class A Ordinary Share	WALD
Waldencast Acquisition Corp. Units	WALDU
Novus Capital Corporation II Class A Common Stock	NXU
Hennessy Capital Investment Corp. V Class A Common Stock	HCIC
Hennessy Capital Investment Corp. V Units	HCICU
EJF Acquisition Corp. Class A Ordinary Share	EJFA
EJF Acquisition Corp. Unit	EJFAU
Arrowroot Acquisition Corp. Class A common stock	ARRW
Arrowroot Acquisition Corp. Unit	ARRWU
Village Super Market Inc. Class A Common Stock	VLGEA
Interstate Power & Light Company Perp Prd Ser D	IPLDP
KL Acquisition Corp Unit	KLAQU
KL Acquisition Corp Class A Common Stock	KLAQ
USHG Acquisition Corp. Class A Common Stock	HUGS
Pure Cycle Corporation Common Stock	PCYO
Clarim Acquisition Corp. Class A Common Stock	CLRM
Clarim Acquisition Corp. Unit	CLRMU
ThredUp Inc. Class A Common Stock	TDUP
NightDragon Acquisition Corp. Class A Common stock	NDAC
NightDragon Acquisition Corp. SCALE Units	NDACU
Tiga Acquisition Corp. Class A Ordinary Shares	TINV
iRadimed Corporation Common Stock	IRMD
9 Meters Biopharma Inc. Common Stock	NMTR
Flame Acquisition Corp. Class A Common Stock	FLME
Concord Acquisition Corp. Class A Common Stock	CND
Tuesday Morning Corp. Common Stock	TUEM
Fusion Pharmaceuticals Inc. Common Shares	FUSN
Kayne Anderson NextGen Energy & Infrastructure Inc.	KMF
Viemed Healthcare Inc. Common Shares	VMD
Aurora Acquisition Corp. Unit	AURCU
Aurora Acquisition Corp. Class A Ordinary Shares	AURC
Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST	EOT
HyreCar Inc. Common Stock	HYRE
Galiano Gold Inc.	GAU
PIMCO Strategic Income Fund Inc.	RCS
ECP Environmental Growth Opportunities Corp. Class A Common Stock	ENNV
ECP Environmental Growth Opportunities Corp. Unit	ENNVU
Ivanhoe Capital Acquisition Corp. Class A Ordinary Shares	IVAN
Nemaura Medical Inc. Common Stock	NMRD
Silver Crest Acquisition Corporation Class A Ordinary Share	SLCR
Silver Crest Acquisition Corporation Unit	SLCRU
Seelos Therapeutics Inc. Common Stock	SEEL
Mission Advancement Corp. Class A Common Stock	MACC
Cartesian Growth Corporation Class A Ordinary Share	GLBL
Cartesian Growth Corporation Unit	GLBLU
Broadscale Acquisition Corp. Units	SCLEU
Broadscale Acquisition Corp. Class A common stock	SCLE
VirnetX Holding Corp Common Stock	VHC
Identiv Inc. Common Stock	INVE
Virtus AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest	ACV
Limoneira Co Common Stock	LMNR
PLx Pharma Inc. Common Stock	PLXP
CITIC Capital Acquisition Corp. Class A Ordinary Shares	CCAC
Ampio Pharmaceuticals Inc.	AMPE
Retractable Technologies Inc. Common Stock	RVP
Nebula Caravel Acquisition Corp. Class A Common Stock	NEBC
Nebula Caravel Acquisition Corp. Unit	NEBCU
Tailwind International Acquisition Corp. Class A Ordinary Shares	TWNI
Tortoise Energy Infrastructure Corporation Common Stock	TYG
Property Solutions Acquisition Corp. Common Stock	PSAC
Property Solutions Acquisition Corp. Unit	PSACU
Home Bancorp Inc. Common Stock	HBCP
VistaGen Therapeutics Inc. Common Stock	VTGN
Kirkland's Inc. COMMONSTOCK	KIRK
Pivotal Investment Corporation III Class A Common Stock	PICC
KINS Technology Group Inc. Class A Common Stock	KINZ
KINS Technology Group Inc. Unit	KINZU
Werewolf Therapeutics Inc. Common Stock	HOWL
Celcuity Inc. Common Stock	CELC
Mesa Air Group Inc. Common Stock	MESA
NVE Corporation Common Stock	NVEC
Tufin Software Technologies Ltd. Ordinary Shares	TUFN
Freeline Therapeutics Holdings plc American Depositary Shares	FRLN
Fiesta Restaurant Group Inc. Common Stock	FRGI
GTY Technology Holdings Inc. Common Stock	GTYH
Sigilon Therapeutics Inc. Common Stock	SGTX
Capstar Special Purpose Acquisition Corp. Class A Common Stock	CPSR
Wave Life Sciences Ltd. Ordinary Shares	WVE
NewAge Inc. Common Stock (Delaware)	NBEV
Blackrock MuniVest Fund II Inc. Common Stock	MVT
Investors Title Company Common Stock	ITIC
Arctos NorthStar Acquisition Corp. Class A Ordinary Shares	ANAC
Puyi Inc. American Depository Shares	PUYI
Landmark Infrastructure Partners LP Common Units	LMRK
Landmark Infrastructure Partners LP Perpetual Preferred Units Series B 7.90%	LMRKO
Landmark Infrastructure Partners LP 7% Series C Fltg/Fxd Perpetual Conv Preferred Stock	LMRKN
Landmark Infrastructure Partners LP 8.00% Series A Cumulative Redeemable Perpetual Preferred Units	LMRKP
Capital Bancorp Inc. Common Stock	CBNK
Adit EdTech Acquisition Corp. Common Stock	ADEX
Escalade Incorporated Common Stock	ESCA
HC2 Holdings Inc. Common Stock	HCHC
MEI Pharma Inc. Common Stock	MEIP
Luna Innovations Incorporated Common Stock	LUNA
Apyx Medical Corporation Common Stock	APYX
Athlon Acquisition Corp. Class A Common stock	SWET
Athlon Acquisition Corp. Unit	SWETU
26 Capital Acquisition Corp. Unit	ADERU
26 Capital Acquisition Corp. Class A Common Stock	ADER
Hamilton Beach Brands Holding Company Class A Common Stock	HBB
First Trust Senior Floating Rate Income Fund II Common Shares of Beneficial Interest	FCT
First Internet Bancorp 6.0% Fixed-to-Floating Rate Subordinated Notes due 2026	INBKL
First Internet Bancorp Common Stock	INBK
First Internet Bancorp 6.0% Fixed-to-Floating Rate Subordinated Notes Due 2029	INBKZ
Regis Corporation Common Stock	RGS
LIZHI INC. American Depositary Shares	LIZI
Digital Transformation Opportunities Corp. Class A Common Stock	DTOC
Digital Transformation Opportunities Corp. Units	DTOCU
Edify Acquisition Corp. Class A Common Stock	EAC
Edify Acquisition Corp. Units	EACPU
Horizon Technology Finance Corporation Common Stock	HRZN
Horizon Technology Finance Corporation 4.875% Notes due 2026	HTFB
Tuniu Corporation American Depositary Shares	TOUR
XOMA Corporation Common Stock	XOMA
XOMA Corporation Depositary Shares Rep Series B 8.375% Cumulative Preferred Stock	XOMAO
XOMA Corporation 8.625% Series A Cumulative Perpetual Preferred Stock	XOMAP
Prime Impact Acquisition I Class A Ordinary Shares	PIAI
Tiptree Inc. Common Stock	TIPT
SuRo Capital Corp. Common Stock	SSSS
Healthcare Capital Corp. Class A common stock	HCCC
Healthcare Capital Corp. Unit	HCCCU
Redhill Biopharma Ltd. American Depositary Shares	RDHL
ION Acquisition Corp 1 Ltd. Class A Ordinary Shares	IACA
Adverum Biotechnologies Inc. Common Stock	ADVM
Cerberus Telecom Acquisition Corp. Class A Ordinary Shares	CTAC
Polymet Mining Corporation Ordinary Shares (Canada)	PLM
Yiren Digital Ltd. American Depositary Shares each representing two ordinary shares	YRD
Express Inc. Common Stock	EXPR
P.A.M. Transportation Services Inc. Common Stock	PTSI
Blue Ridge Bankshares Inc. Common Stock	BRBS
Mid Penn Bancorp Common Stock	MPB
Blackrock MuniYield California Fund Inc. Common Stock	MYC
eGain Corporation Common Stock	EGAN
New Germany Fund Inc. (The) Common Stock	GF
Templeton Emerging Markets Fund Common Stock	EMF
The ONE Group Hospitality Inc. Common Stock	STKS
Greenlight Capital Re Ltd. Class A Ordinary Shares	GLRE
NN Inc. Common Stock	NNBR
AFC Gamma Inc. Common Stock	AFCG
G. Willi-Food International Ltd. Ordinary Shares	WILC
Prospector Capital Corp. Unit	PRSRU
Prospector Capital Corp. Class A Ordinary Shares	PRSR
Athena Technology Acquisition Corp. Class A Common Stock	ATHN
WhiteHorse Finance Inc. Common Stock	WHF
WhiteHorse Finance Inc. 6.50% Notes due 2025	WHFBZ
NGL ENERGY PARTNERS LP Common Units representing Limited Partner Interests	NGL
Blackrock MuniYield Quality Fund II Inc. Common Stock	MQT
Cheetah Mobile Inc. American Depositary Shares each representing 10 Class Ordinary Shares	CMCM
Revolution Acceleration Acquisition Corp Class A Common Stock	RAAC
Revolution Acceleration Acquisition Corp Unit	RAACU
Western Asset Inflation-Linked Income Fund	WIA
Huize Holding Limited American Depositary Shares	HUIZ
Rocket Internet Growth Opportunities Corp. Class A Ordinary Shares	RKTA
Flexsteel Industries Inc. Common Stock	FLXS
KemPharm Inc. Common Stock	KMPH
Xunlei Limited American Depositary Receipts	XNET
Macatawa Bank Corporation Common Stock	MCBC
Aeglea BioTherapeutics Inc. Common Stock	AGLE
Pathfinder Acquisition Corporation Class A Ordinary Shares	PFDR
Pathfinder Acquisition Corporation Unit	PFDRU
Centrus Energy Corp. Class A Common Stock	LEU
Goal Acquisitions Corp. Common Stock	PUCK
Goal Acquisitions Corp. Unit	PUCKU
Howard Bancorp Inc. Common Stock	HBMD
Castlight Health Inc. Class B Common Stock	CSLT
FinTech Acquisition Corp. IV Class A Common Stock	FTIV
FinTech Acquisition Corp. IV Unit	FTIVU
CTO Realty Growth Inc. Common Stock	CTO
BRT Apartments Corp. (MD) Common Stock	BRT
Nuveen Real Estate Income Fund Common Shares of Beneficial Interest	JRS
ClearBridge Energy Midstream Opportunity Fund Inc. Common Stock	EMO
Kura Sushi USA Inc. Class A Common Stock	KRUS
Forum Merger III Corporation Class A Common stock	FIII
Forum Merger III Corporation Units	FIIIU
China Fund Inc. (The) Common Stock	CHN
Invesco Pennsylvania Value Municipal Income Trust Common Stock (DE)	VPV
Grupo Supervielle S.A. American Depositary Shares each Representing five Class B shares	SUPV
uCloudlink Group Inc. American Depositary Shares	UCL
Global Synergy Acquisition Corp. Class A Ordinary Shares	GSAQ
Global Synergy Acquisition Corp. Units	GSAQU
Crescent Acquisition Corp Class A Common Stock	CRSA
Crescent Acquisition Corp Unit	CRSAU
BlackRock Capital Investment Corporation Common Stock	BKCC
FAST Acquisition Corp. Class A Common Stock	FST
Citius Pharmaceuticals Inc. Common Stock	CTXR
Peoples Financial Services Corp. Common Stock	PFIS
Urban One Inc. Class D Common Stock	UONEK
Urban One Inc. Class A Common Stock	UONE
Aurora Mobile Limited American Depositary Shares	JG
Hamilton Lane Alliance Holdings I Inc. Class A Common Stock	HLAH
Empower Ltd. Class A Ordinary Shares	EMPW
Kismet Acquisition One Corp Unit	KSMTU
Kismet Acquisition One Corp Ordinary Shares	KSMT
Kindred Biosciences Inc. Common Stock	KIN
Mistras Group Inc Common Stock	MG
Live Oak Acquisition Corp. II Class A Common Stock	LOKB
BlackRock Investment Quality Municipal Trust Inc. (The)	BKN
MCAP Acquisition Corporation Unit	MACQU
MCAP Acquisition Corporation Class A Common Stock	MACQ
Northwest Pipe Company Common Stock	NWPX
Crucible Acquisition Corporation Class A Common Stock	CRU
Gran Tierra Energy Inc. Common Stock	GTE
Nuveen S&P 500 Dynamic Overwrite Fund	SPXX
Verona Pharma plc American Depositary Share	VRNA
Vera Therapeutics Inc. Class A Common Stock	VERA
Mustang Bio Inc. Common Stock	MBIO
Platinum Group Metals Ltd. Ordinary Shares (Canada)	PLG
DarioHealth Corp. Common Stock	DRIO
Pioneer Bancorp Inc. Common Stock	PBFS
Park Aerospace Corp. Common Stock	PKE
Blackrock MuniHoldings Quality Fund II Inc. Common Stock	MUE
IM Cannabis Corp. Common Shares	IMCC
CF Acquisition Corp. V Class A Common Stock	CFV
CF Acquisition Corp. V Unit	CFFVU
Ceragon Networks Ltd. Ordinary Shares	CRNT
ACON S2 Acquisition Corp. Class A Ordinary Shares	STWO
ACON S2 Acquisition Corp. Unit	STWOU
Isos Acquisition Corporation Class A Ordinary Shares	ISOS
FG New America Acquisition Corp. Class A Common Stock	FGNA
Atento S.A. Ordinary Shares	ATTO
Gores Technology Partners Inc. Class A Common Stock	GTPA
Gores Technology Partners Inc. Units	GTPAU
Daktronics Inc. Common Stock	DAKT
HF Foods Group Inc. Common Stock	HFFG
Cogent Biosciences Inc. Common Stock	COGT
Summit Financial Group Inc. Common Stock	SMMF
Infrastructure and Energy Alternatives Inc. Common Stock	IEA
MedTech Acquisition Corporation Class A Common Stock	MTAC
MedTech Acquisition Corporation Unit	MTACU
Utah Medical Products Inc. Common Stock	UTMD
Wrap Technologies Inc. Common Stock	WRAP
NantHealth Inc. Common Stock	NH
iBio Inc. Common Stock	IBIO
Silver Spike Acquisition Corp II Class A Ordinary Shares	SPKB
Silver Spike Acquisition Corp II Units	SPKBU
Nuveen Select Tax Free Income Portfolio Common Stock	NXP
Frequency Therapeutics Inc. Common Stock	FREQ
Aenza S.A.A. American Depositary Shares	AENZ
Tekkorp Digital Acquisition Corp. Class A Ordinary Shares	TEKK
Tekkorp Digital Acquisition Corp. Unit	TEKKU
X Financial American Depositary Shares each representing six Class A Ordinary Shares	XYF
Bassett Furniture Industries Incorporated Common Stock	BSET
Provident Bancorp Inc. (MD) Common Stock	PVBC
Leaf Group Ltd. Common Stock	LEAF
Yellow Corporation Common Stock	YELL
VIA optronics AG American Depositary Shares each representing one-fifth of an Ordinary Share	VIAO
Stratim Cloud Acquisition Corp. Class A Common Stock	SCAQ
Stratim Cloud Acquisition Corp. Unit	SCAQU
Drive Shack Inc.	DS
Carrols Restaurant Group Inc. Common Stock	TAST
Maiden Holdings Ltd. 6.625% Notes due 2046	MHLA
Maiden Holdings Ltd.	MHLD
GoldMining Inc. Common Shares	GLDG
